Medicine_Name,Current_Stock,Days_Until_Expiry,Average_Daily_Usage
Ibuprofen,144,140,0.86
Beclomethasone,174,214,0.82
Ethambutol,326,73,4.72
Meropenem,35,116,0.29
Dexamethasone,229,25,8.14
Levothyroxine,187,156,1.28
Adrenaline,299,239,1.17
Ondansetron,92,134,0.6
Budesonide,497,64,8.22
Rifampicin,396,252,1.58
Olanzapine,62,239,0.26
Diazepam,24,297,0.08
Piperacillin,146,113,1.16
Tramadol,463,298,1.84
Phenytoin,267,16,14.14
Insulin,54,72,0.75
Rifampicin,293,154,1.79
Rifampicin,347,110,3.55
Nitrofurantoin,448,295,1.77
Clotrimazole,278,159,1.41
Erythromycin,152,317,0.53
Paracetamol,387,65,5.53
Ibuprofen,206,127,1.5
Levofloxacin,326,65,5.71
Hydrochlorothiazide,72,147,0.5
Alprazolam,395,30,14.95
Quetiapine,391,150,2.89
Ibuprofen,404,165,2.83
Risperidone,327,184,1.46
Ivermectin,496,332,1.53
Clopidogrel,488,363,1.14
Lorazepam,409,220,2.1
Ciprofloxacin,363,51,6.88
Lorazepam,149,74,2.23
Quetiapine,474,23,17.63
Theophylline,403,120,2.74
Clozapine,351,47,6.1
Meropenem,300,342,0.9
Salmeterol,15,299,0.05
Ceftriaxone,273,56,4.58
Clotrimazole,220,293,0.75
Granisetron,71,130,0.47
Lisinopril,371,88,3.72
Paracetamol,196,74,3.1
Quetiapine,70,342,0.19
Ranitidine,228,255,0.8
Artemether,428,230,2.19
Dexamethasone,215,34,5.33
Paracetamol,464,144,3.49
Lisinopril,182,138,1.49
Furosemide,383,81,4.75
Spironolactone,285,318,0.91
Budesonide,360,254,1.58
Formoterol,476,42,12.58
Isoniazid,288,83,3.47
Olanzapine,491,285,1.45
Risperidone,230,20,11.12
Ketoconazole,119,239,0.49
Ibuprofen,121,109,1.18
Betamethasone,252,360,0.79
Chlorpheniramine,466,206,2.27
Linezolid,238,353,0.58
Clozapine,245,172,1.31
Spironolactone,142,358,0.45
Ketoconazole,202,63,3.84
Spironolactone,321,203,1.73
Erythromycin,35,346,0.09
Losartan,34,290,0.13
Nitrofurantoin,485,104,4.62
Spironolactone,86,130,0.74
Noradrenaline,161,353,0.38
Erythromycin,157,47,3.05
Rifampicin,260,21,10.91
Piperacillin,297,89,3.79
Clotrimazole,157,201,0.72
Clopidogrel,271,243,0.91
Prednisone,297,105,2.92
Lumefantrine,132,110,1.22
Metformin,454,364,1.38
Chloroquine,467,184,2.72
Ivermectin,432,47,7.86
Dexamethasone,445,245,1.95
Mebendazole,212,47,4.24
Hydrochlorothiazide,267,286,0.96
Clopidogrel,344,56,6.38
Amlodipine,357,30,11.13
Levothyroxine,143,262,0.65
Chlorpheniramine,45,123,0.41
Phenylephrine,357,309,1.31
Diazepam,268,318,0.81
Morphine,277,140,1.59
Diclofenac,33,180,0.17
Spironolactone,190,311,0.57
Morphine,255,279,0.89
Meropenem,474,319,1.26
Naloxone,161,135,1.24
Sertraline,237,218,1.19
Dopamine,233,157,1.57
Diclofenac,337,35,10.06
Pseudoephedrine,228,62,3.2
Betamethasone,204,292,0.74
Azithromycin,452,113,3.56
Theophylline,474,101,4.57
Ciprofloxacin,426,101,3.45
Salmeterol,135,197,0.58
Isoniazid,29,39,0.79
Lorazepam,208,311,0.74
Atorvastatin,46,223,0.23
Ketoconazole,180,67,2.48
Doxycycline,229,362,0.75
Olanzapine,399,242,1.83
Pseudoephedrine,468,78,5.19
Insulin,345,125,2.43
Phenytoin,452,42,11.83
Vitamin D,223,195,0.93
Loratadine,489,330,1.45
Clopidogrel,50,231,0.25
Hydrochlorothiazide,188,18,11.58
Lithium,435,98,4.76
Calcium Carbonate,221,359,0.73
Diclofenac,37,116,0.34
Losartan,372,29,14.42
Adrenaline,472,297,1.84
Pseudoephedrine,294,85,2.88
Phenylephrine,494,153,2.76
Pseudoephedrine,460,34,16.07
